Location;Race Position;;;0 = DNF;;;;Max;Carlos;;Max;14 Race finished
;Max;Carlos;;MAX;5 DNF;;Australia;0;2;;Carlos ;12 Race finished
Australia;0;9;;CARLOS;7 DNF;;Malaysia;6;4;;;
Malaysia;7;8;;;;;China;0;0;;;
China;0;13;;;;;Bahrain;0;0;;;
Bahrain;0;0;;;;;Spain;0;2;;;
Spain;11;9;;;;;Monaco;0;1;;;
Monaco;0;10;;;;;Canada;0;0;;;
Canada;15;12;;;;;Austria;4;0;;;
Austria;8;0;;;;;Great Britain;0;0;;;
Great Britain;0;0;;;;;Hungary;12;0;;;
Hungary;4;0;;;;;Belgium;4;0;;;
Belgium;8;0;;;;;Italy;0;0;;;
Italy;12;11;;;;;Singapore;4;2;;;
Singapore;8;9;;;;;Japan;2;1;;;
Japan;9;10;;;;;Russia;1;0;;;
Russia;10;0;;;;;United States;12;6;;;
United States;4;7;;;;;Mexico;2;0;;;
Mexico;9;13;;;;;Brazil;2;0;;;
Brazil;9;0;;;;;Abu Dhabi;0;0;;;
Abu Dhabi;16;11;;;;;TOTAL;49;18;;;
Avg. finishing race position (counting dnfs);6,842105263;6,421052632;;;;;Average Points (counting DNFs);2,578947368;0,947368421;;;
Avg. finishing race position (w/o dnfs);9,285714286;10,16666667;;;;;Average Points (w/o DNFs);3,5;1,5;;;
