Location;Max;Checo;Max (Sp.);Checo (Sp.);;MAX;0 DNF;;Location;Max;Checo
Bahrain;1;2;;;;CHECO;2 DNF;;Bahrain;25;18
Saudi Arabia;2;1;;;;;;;Saudi Arabia;19;25
Australia;1;5;;;;SPRINT RACE;;;Australia;25;11
Azerbaijan;2;1;3;1;;FASTEST LAP;;;Azerbaijan;24;33
Miami;1;2;;;;DNF;;;Miami;26;18
Monaco;1;16;;;;;;;Monaco;25;0
Spain;1;4;;;;;;;Spain;26;12
Canada;1;6;;;;;;;Canada;25;9
Austria;1;3;1;2;;;;;Austria;34;22
Great Britain;1;6;;;;;;;Great Britain;26;8
Hungary;1;3;;;;;;;Hungary;26;15
Belgium;1;2;1;2;;;;;Belgium;33;18
Netherlands;1;4;;;;;;;Netherlands;25;12
Italy;1;2;;;;;;;Italy;25;18
Singapore;5;8;;;;;;;Singapore;10;4
Japan;1;0;;;;;;;Japan;26;0
Qatar;1;10;2;0;;;;;Qatar;33;1
United States;1;4;1;5;;;;;United States;33;16
Mexico;1;0;;;;;;;Mexico;25;0
Brazil;1;4;;;;;;;Brazil;33;18
Avg. finishing race position (counting dnfs);1,3;4,15;1,6;2;;;;;Average Points (counting DNFs);26,2;12,9
Avg. finishing race position (w/o dnfs);1,3;4,611111111;1,6;2,5;;;;;Average Points (w/o DNFs);26,2;14,33333333
